Path is: working/SA250_microscopy_interpolated_PCHIP.csv
i	j	length	error
20	54	35	108.7055
20	55	36	105.5376
20	56	37	101.8498
20	57	38	98.7039
20	58	39	96.8908
20	59	40	95.7287
20	60	41	94.5001
20	61	42	92.7706
20	62	43	90.3516
20	63	44	87.5363
21	52	32	115.8804
21	53	33	113.8402
21	54	34	111.4473
21	55	35	108.7055
21	56	36	105.5376
21	57	37	101.8498
21	58	38	98.7039
21	59	39	96.8908
21	60	40	95.7287
21	61	41	94.5001
21	62	42	92.7706
21	63	43	90.3516
22	53	32	115.8804
22	54	33	113.8402
22	55	34	111.4473
22	56	35	108.7055
22	57	36	105.5376
22	58	37	101.8498
22	59	38	98.7039
22	60	39	96.8908
22	61	40	95.7287
22	62	41	94.5001
22	63	42	92.7706
23	54	32	115.8804
23	55	33	113.8402
23	56	34	111.4473
23	57	35	108.7055
23	58	36	105.5376
23	59	37	101.8498
23	60	38	98.7039
23	61	39	96.8908
23	62	40	95.7287
23	63	41	94.5001
24	55	32	115.8804
24	56	33	113.8402
24	57	34	111.4473
24	58	35	108.7055
24	59	36	105.5376
24	60	37	101.8498
24	61	38	98.7039
24	62	39	96.8908
24	63	40	95.7287
25	56	32	115.8804
25	57	33	113.8402
25	58	34	111.4473
25	59	35	108.7055
25	60	36	105.5376
25	61	37	101.8498
25	62	38	98.7039
25	63	39	96.8908
26	57	32	115.8804
26	58	33	113.8402
26	59	34	111.4473
26	60	35	108.7055
26	61	36	105.5376
26	62	37	101.8498
26	63	38	98.7039
27	58	32	115.8804
27	59	33	113.8402
27	60	34	111.4473
27	61	35	108.7055
27	62	36	105.5376
27	63	37	101.8498
28	59	32	115.8804
28	60	33	113.8402
28	61	34	111.4473
28	62	35	108.7055
28	63	36	105.5376
29	60	32	115.8804
29	61	33	113.8402
29	62	34	111.4473
29	63	35	108.7055
30	61	32	115.8804
30	62	33	113.8402
30	63	34	111.4473
31	62	32	115.8804
31	63	33	113.8402
32	63	32	115.8804
Min SA250 error achieved with (0, 53): 36.399
Period length: 54
