time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
PF3D7_0107900	7.49901	7.0907	1.213385	1	1.496881	1.613512	2.30831	3.44062	11.8837	20.6295	39.1705	33.7001	34.7464	30.0481	17.7348	12.0927	4.20015	4.12114	1.776979	2.27742	2.42113	2.41377	5.01641	10.97105
PF3D7_0108000	278.882	91.2993	44.2012	102.448	158.123	147.883	217.881	151.186	204.318	181.372	195.448	191.011	232.819	271.39	320.747	263.863	101.862	153.332	79.7119	115.913	135.475	153.849	155.115	172.144
PF3D7_0108100	6.53057	2.13902	1.603009	1.864281	2.72008	2.19194	1.714228	2.34491	2.67689	3.56023	3.2743	4.08026	7.26631	10.16999	8.72547	7.72272	3.08693	3.58401	2.3723	2.35371	2.91941	2.17167	2.0057	2.36484
PF3D7_0108300	63.782	188.069	376.64	270.786	249.784	227.498	239.846	187.362	135.556	383.218	270.471	171.828	113.569	76.5474	63.8258	73.1952	179.078	147.355	145.028	175.555	178.711	168.035	167.184	184.091
PF3D7_0108400	10.11247	37.7289	89.5259	55.6194	29.766	17.4328	9.31849	14.9192	23.677	29.6711	36.7418	27.5358	23.7263	20.1735	14.9367	11.7298	31.1262	28.248	38.6702	29.424	29.5069	20.9814	16.433	24.4545
PF3D7_0108500	143.587	10676.2	15750.3	5093.79	3608.28	2233.73	2558.98	858.607	555.137	328.224	133.332	73.6161	48.6374	39.2753	67.5728	885.694	7359.3	3730.68	3740.73	3777.63	1974.42	1816.11	1355.4	718.292
PF3D7_0108600	11.7985	5.36552	3.0429	1.672469	1.259474	1.711954	1.724613	1.679735	1.50386	1.788512	1.880567	6.14995	22.6152	19.9613	16.1044	11.601	3.57098	4.82002	2.42761	1.585154	1.654813	1.662558	1.840725	1.48815
PF3D7_0108700	30.2887	12.6803	8.40676	14.0145	17.0656	18.609	21.1174	28.0529	29.9099	63.9717	59.2958	37.7897	35.067	36.3446	40.4111	33.0759	13.7933	16.0759	9.8243	11.1213	14.7068	21.5114	23.5806	31.6425
PF3D7_0108800	18.1984	8.88552	2.81801	5.20571	5.30391	7.53379	9.78217	15.9021	26.4015	47.8131	47.7566	24.3935	22.2062	28.0835	25.7059	18.9905	9.21439	9.86388	5.10669	5.10515	5.80751	10.4585	17.7847	29.0075
PF3D7_0108900	20.0805	110.497	30.2458	4.44874	4.13108	2.12759	1.18737	1.307589	1.182403	1.158583	1	1.0981229	1	2.05198	3.5108	25.328	47.7299	58.1593	51.457	11.062	4.02896	1.942279	1.800924	1.392701
PF3D7_0109000	577.407	3714.68	846.439	178.917	57.9998	22.5363	9.82284	5.26753	5.29448	3.80025	2.34022	2.48513	7.66708	9.95624	75.3618	623.189	1420.28	1493.92	2208.58	533.045	131.225	63.5933	22.8875	10.32828
PF3D7_0109100	16.2068	94.7647	20.8919	4.89938	2.05321	1.530786	1.282974	1.147807	1.125215	1.108863	1.0397874	1.0269436	1.178459	1.361081	2.6853	14.2193	32.3069	31.2727	37.1687	11.4555	3.56749	2.5054	1.780737	1.283058
PF3D7_0109200	24.8306	6.87073	4.49653	11.7129	13.6513	16.4662	21.8383	27.5793	44.7826	34.7511	36.3598	35.9365	39.584	39.5079	34.4819	23.0695	6.58509	11.9417	9.2701	13.7117	20.1773	21.4931	26.6331	31.7919
PF3D7_0109400	21.4719	16.0477	1.448109	2.893	8.72156	10.66285	12.7391	10.43058	16.0752	30.384	62.6157	74.1176	71.8676	56.2166	35.9572	23.838	14.1822	20.2536	7.88924	7.77708	8.37318	9.56422	13.0645	19.5836
PF3D7_0109500	45.6609	18.773	9.06505	24.4232	34.0998	53.6565	113.664	108.004	232.116	211.685	174.6	107.525	70.7767	75.7311	76.2981	44.4157	16.4098	19.4322	26.4918	32.9228	57.4774	87.9597	142.595	187.665
PF3D7_0109600	6.17874	4.58905	5.80958	7.77255	3.48877	3.81686	3.38292	4.42286	1.869907	3.52102	5.60693	13.635	17.1176	12.2884	5.87845	6.71949	3.46597	4.17547	3.59448	6.21968	3.30292	3.72356	3.16452	1.624284
PF3D7_0109700	17.9446	45.9544	248.088	173.659	174.143	157.342	112.5	140.818	113.695	138.675	78.9825	58.1631	33.6852	25.8372	25.2832	28.2911	78.4391	73.3802	107.621	101.026	67.6808	126.149	128.675	112.036
PF3D7_0109800	25.1972	38.8572	141.178	195.19	156.026	137.354	141.434	152.814	148.144	112.726	95.965	84.7985	59.5278	56.2789	43.1381	33.7367	60.8355	61.2787	109.193	146.635	173.726	182.722	150.627	142.321
PF3D7_0109850	23.5397	6.35456	1.587467	1.405176	1.156338	1.442371	1.140334	1.0767913	1.182151	1.0791822	1	1.146982	4.30998	14.7883	24.6804	23.9685	6.76058	9.78458	3.34282	1.687505	1.295903	1.10693	1.159964	1.17157
PF3D7_0109950	59.3455	18.8768	3.21816	1.267726	1.413212	2.06292	1.989095	2.21779	8.46228	10.83633	16.489	25.0859	55.8925	58.9622	83.8381	64.3074	21.9832	29.3891	6.7435	3.65579	2.21659	1.904389	1.95129	5.79383
PF3D7_0110000	13.8764	4.12332	1.797233	1	1.247522	1.636711	1.592487	1.364739	2.58615	3.25657	4.09275	8.52423	20.4207	21.2709	20.5178	12.3767	4.52554	9.25986	4.76301	2.08849	1.936975	1.40631	1.506525	2.4746
PF3D7_0110100	5.32456	2.71963	8.16934	20.2225	21.9633	19.4289	22.065	27.7087	27.2585	13.7072	13.8467	10.31248	11.9303	12.9792	10.20097	6.71569	4.3969	6.57093	12.8716	16.1669	25.5157	25.7157	22.9863	19.6199
PF3D7_0110200	17.9653	3.9394	4.50134	21.7779	21.6545	23.93	22.4675	22.0914	24.7482	23.574	33.6996	30.298	38.9081	29.9909	29.0889	21.5213	9.75165	11.6695	17.9988	21.0413	30.2627	32.0793	23.3849	31.5065
PF3D7_0110300	1	1	4.39163	1	2.57953	4.25048	1.945221	3.32754	1.920165	1.800002	3.19289	6.445	1.655721	3.65347	2.40735	4.4571	1	4.87569	4.43046	4.20588	2.32871	4.45709	2.61617	1.495263
PF3D7_0110400	24.2937	23.9283	70.4982	120.201	111.954	106.634	141.133	127.068	181.613	132.833	119.459	104.78	67.192	54.4185	41.1711	28.0931	35.883	43.2442	79.1371	97.9628	118.409	139.572	149.445	150.556
