time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0107400	3.41732	1.898193	2.06866	1.32047	3.61999	13.6404	34.5018	48.6289	48.6182	38.6452	23.1761	19.3144	12.6247	15.4347	4.53948	2.83798	4.82088	13.128	31.5268	37.8002	44.793
PF3D7_0107500	650.283	507.064	386.393	384.428	381.346	231.872	140.34	98.1209	70.661	54.8618	123.656	308.715	2220.57	1057.78	353.71	337.22	300.227	229.646	141.976	109.996	76.4186
PF3D7_0107600	1.71381	2.16173	1.431728	1.44536	1.255412	1.249036	1.237736	1.438312	1.397747	1.568973	1.85681	2.67939	4.04611	4.42906	2.39602	1.428916	1.446495	1.266096	1.393797	1.390371	1.363156
PF3D7_0107700	1.918409	1.668466	1.484244	2.58487	6.45673	15.25	21.5467	23.7295	10.33438	10.93698	7.67667	4.01521	5.85362	4.77689	2.37942	1.78598	5.91125	11.3018	19.7116	22.4956	16.7054
PF3D7_0107800	2.632	5.81768	10.68238	16.2024	20.0627	23.0603	25.6322	31.6818	23.9536	18.251	12.3725	7.8115	7.29221	6.70135	5.06988	10.47012	16.6261	18.9304	23.9021	26.5477	24.1056
PF3D7_0107900	8.25116	24.2121	42.8942	58.7511	58.5228	52.945	42.2066	42.6905	34.8074	22.7853	12.4763	12.7912	9.87535	10.99264	17.8404	36.0379	47.9051	45.3408	43.2224	39.328	33.6613
PF3D7_0108000	130.673	129.541	125.339	153.343	185.366	192.174	215.393	251.09	389.662	352.395	199.438	190.82	103.798	66.0034	92.3949	126.434	154.446	170.491	185.441	220.766	268.563
PF3D7_0108100	1.630377	1.893755	2.30773	3.29127	4.17237	5.94213	7.31453	9.36381	9.4901	9.88367	7.98751	5.34626	2.91897	3.50839	2.18304	2.3487	3.59724	4.43951	5.81945	6.96085	8.37539
PF3D7_0108300	337.247	263.243	261.545	305.681	291.139	161.858	124.675	109.455	92.611	85.3428	153.14	194.058	295.994	458.535	206.639	244.154	226.35	164.596	115.298	100	86.2389
PF3D7_0108400	26.322	20.6897	23.3087	24.049	25.8319	21.357	19.8873	19.6984	17.1781	12.2858	9.18162	15.1097	72.1983	94.3589	23.6135	22.5339	22.5224	21.1229	17.5599	16.4802	15.9263
PF3D7_0108500	2705.53	1346.47	590.308	300.707	148.436	65.3673	33.9794	29.2566	26.4325	22.258	286.784	802.514	7808.7	8781.18	1591.4	679.064	303.251	114.165	52.5341	39.7053	27.8809
PF3D7_0108600	3.13594	2.87407	1.999477	2.08784	2.9073	8.4909	17.3369	34.269	25.7239	25.5929	15.316	8.94088	5.45169	5.7344	2.64157	2.24634	3.46586	6.70617	18.9616	23.8406	23.8012
PF3D7_0108700	52.0965	45.9049	41.035	41.157	39.7616	30.1389	32.4346	36.5223	50.5354	39.6169	28.402	31.3746	19.4022	17.977	32.4059	42.5504	36.0362	28.8422	27.5212	32.3684	41.444
PF3D7_0108800	25.3926	26.4651	33.7166	35.5191	30.5383	26.9839	34.5354	40.8919	36.1674	30.8329	21.5012	27.795	18.1662	11.4811	20.3357	30.4153	29.3347	27.9989	30.7512	34.9176	36.2902
PF3D7_0108900	2.75702	1.588899	1.139503	1.208335	1.202349	1.0779543	1.0946687	1.085268	1.0774609	7.96347	83.1657	115.773	105.775	52.2518	8.27124	3.25532	1.342206	1.729593	1	1.214362	1.407019
PF3D7_0109000	65.2828	46.0988	13.8949	9.2198	5.1745	3.42537	3.54895	5.21237	8.26053	208.394	1894.23	5431.51	5277.26	2157.61	208.659	55.0008	32.1192	16.7841	7.82565	8.61652	21.3059
