time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63
PF3D7_0107500	23.7171	54.1784	278.313	403.739	384.362	422.709	349.872	340.7	352.382	329.366	268.468	333.556	194.508	169.319	123.863	79.2066	92.5913	40.8302	200.448	447.823	320.395	185.306
PF3D7_0107700	8.04647	8.20311	3.59324	2.58035	1.963508	1.766067	1.700621	1.476923	1.501184	1.42968	1.550676	1.953659	2.22153	5.66303	9.69166	8.42864	7.14161	5.97823	5.67098	6.59277	5.14169	4.57869
PF3D7_0107800	9.84096	6.62306	4.41052	2.67449	1.827826	1.84292	2.03255	1.9096	2.0528	2.99054	3.35888	3.15729	4.90023	8.27646	7.42277	10.13505	5.96127	8.13922	3.26288	3.78788	4.03243	7.71201
PF3D7_0107900	12.6335	12.6179	6.36847	5.58509	4.38518	3.25441	3.808	5.51796	6.40799	7.65357	11.091	13.3061	16.021	22.8652	18.7432	17.8282	15.7485	10.80051	8.00774	7.28302	7.36418	11.03
PF3D7_0108000	182.494	110.473	67.2482	126.269	253.28	273.197	258.237	254.124	310.922	519.826	319.107	407.869	303.874	242.624	206.549	331.229	549.905	500.117	298.127	93.6141	133.471	201.993
PF3D7_0108100	6.38476	4.83817	3.69283	3.33529	3.03726	3.8441	3.16414	2.75961	2.83589	3.0738	4.10595	3.78721	4.34083	4.33996	5.74037	6.19615	6.03012	7.45883	5.53826	5.61878	3.78113	6.49166
PF3D7_0108300	44.8485	57.043	264.847	426.708	372.987	326.2	284.696	240.245	215.527	190.385	181.398	220.236	273.685	184.9	94.8597	89.5693	92.773	62.5036	79.9309	176.525	233.538	95.4701
PF3D7_0108400	14.5384	16.9231	47.7932	61.0102	30.6435	27.998	15.9265	14.6906	9.43422	13.9204	9.12147	16.5484	11.6416	15.3332	21.5517	19.4658	22.375	10.60283	16.2195	29.6801	13.4815	10.12331
PF3D7_0108500	46.8006	748.122	14585.9	14455.8	10004.6	4488.34	3290.98	2256.02	2314.82	1668.16	977.001	857.447	398.336	233.442	78.6577	68.5063	76.2161	128.495	766.395	1191.37	2490.02	323.13
PF3D7_0108600	12.1144	8.85643	5.57896	4.43377	4.92835	3.61615	2.62928	2.76444	2.46705	2.36256	3.51666	2.82709	3.49018	4.53601	8.47697	23.6352	28.0004	14.8132	10.72957	10.45881	10.13651	13.6578
PF3D7_0108700	24.7074	17.7179	13.7249	17.952	22.6635	24.799	24.7591	27.7813	28.0185	36.8397	36.15	45.9506	63.0628	46.3595	25.4216	30.3268	36.3057	32.965	14.0869	12.6257	17.5079	22.9277
